object,real_freq,pred_freq,freq_MAE,freq_RMSE,freq_MAPE_%,real_in,pred_in,in_MAE,in_RMSE,in_MAPE_%
Metal Bowl,"[np.float64(652.0), np.float64(686.2), np.float64(680.0)]","[1081.71, 1081.711, 1080]",408.407,408.68881202409574,60.78927727052434,"[np.float64(102.47), np.float64(116.66), np.float64(102.97)]","[165.2, 167.03, 110]",40.04333333333333,46.62478132209665,37.07396720965338
Metal Pot,"[np.float64(1081.711), np.float64(1085.46), np.float64(1075.73)]","[680, 652, 652]",419.63366666666667,419.8437852427972,38.81997490443063,"[np.float64(105.97), np.float64(108.8), np.float64(107.34)]","[57.43, 115, 116.66]",21.353333333333335,28.76012285555586,20.06221218507636
Mug #1,"[np.float64(3257.9), np.float64(3079.76), np.float64(3253.95)]","[3641.04, 3641.04, 3641.04]",443.8366666666666,451.54186446736765,13.960378823159303,"[np.float64(114.86), np.float64(100.12), np.float64(105.23)]","[49.03, 169.23, 108.26]",45.99,55.13305693199558,43.07327510882886
Mug #2,"[np.float64(3641.04), np.float64(3185.78), np.float64(2997.29)]","[3257.9, 3257.9, 652]",933.5166666666665,1372.635268149069,30.344547977619957,"[np.float64(108.26), np.float64(110.57), np.float64(99.18)]","[114.86, 174.09, 102.47]",24.47,36.91961763976798,22.287135400381402
Glass Bottle,"[np.float64(192.38), np.float64(232.12), np.float64(424.13)]","[7167.43, 7167, 7167.43]",6884.41,6885.152576544691,2734.4011033896236,"[np.float64(102.8), np.float64(95.7), np.float64(98.51)]","[107.81, 108, 49.57]",22.083333333333332,29.27748680015642,22.468813647306337
Wine Glass,"[np.float64(7167.43), np.float64(6454.33), np.float64(1234.51)]","[400, 192, 424]",4613.423333333333,5343.900332587925,85.69961369232828,"[np.float64(107.81), np.float64(101.97), np.float64(99.46)]","[97, 44, 102]",23.773333333333337,34.07750284278471,23.143581193478752
Ceramic Plate,"[np.float64(3216.115), np.float64(4408.8), np.float64(6010.41)]","[3250, 3257.9, 3250]",1315.065,1726.8065295341185,24.361786358919773,"[np.float64(107.112), np.float64(99.26), np.float64(103.03)]","[105, 114.86, 110]",8.227333333333329,9.939843124181248,8.151029463628618
Metal Bowl,"[np.float64(652.0), np.float64(686.2), np.float64(680.0)]","[700, 500, 400]",171.4,196.1074875334103,25.224459952759815,"[np.float64(102.47), np.float64(116.66), np.float64(102.97)]","[45, 40, 25]",70.7,71.31824778180312,65.83937264960122
Metal Pot,"[np.float64(1081.711), np.float64(1085.46), np.float64(1075.73)]","[500, 440, 300]",667.6336666666667,672.4986572529345,61.78436150086683,"[np.float64(105.97), np.float64(108.8), np.float64(107.34)]","[85, 85, 78]",24.703333333333333,24.946719891266934,22.99910846719523
Mug #1,"[np.float64(3257.9), np.float64(3079.76), np.float64(3253.95)]","[1200, 1500, 500]",2130.536666666667,2184.401876189452,66.36514105298983,"[np.float64(114.86), np.float64(100.12), np.float64(105.23)]","[45, 35, 75]",55.070000000000014,57.83564904105425,51.53045631371078
Mug #2,"[np.float64(3641.04), np.float64(3185.78), np.float64(2997.29)]","[4500, 440, 450]",2050.6766666666667,2218.5435488250696,64.92204178288297,"[np.float64(108.26), np.float64(110.57), np.float64(99.18)]","[12, 85, 80]",47.00333333333333,58.55961321593578,43.793257240998834
Glass Bottle,"[np.float64(192.38), np.float64(232.12), np.float64(424.13)]","[1500, 3200, 1500]",1783.79,1972.788045356115,737.3230857794484,"[np.float64(102.8), np.float64(95.7), np.float64(98.51)]","[25, 88, 50]",44.669999999999995,53.12046090412494,44.32354748816235
Wine Glass,"[np.float64(7167.43), np.float64(6454.33), np.float64(1234.51)]","[1833.3333333333333, 4333.333333333333, 983.3333333333334]",2568.7566666666667,3317.343506845668,42.54306732789288,"[np.float64(107.81), np.float64(101.97), np.float64(99.46)]","[80.0, 78.33333333333333, 63.333333333333336]",29.19111111111111,29.649194230510183,28.432736956550986
Ceramic Plate,"[np.float64(3216.115), np.float64(4408.8), np.float64(6010.41)]","[2000.0, 2833.3333333333335, 1633.3333333333333]",2389.5527777777775,2776.0782323799017,48.7908956492433,"[np.float64(107.112), np.float64(99.26), np.float64(103.03)]","[41.666666666666664, 66.66666666666667, 39.333333333333336]",53.91177777777778,55.984171505088035,51.91988237642615
Metal Bowl,"[np.float64(652.0), np.float64(686.2), np.float64(680.0)]","[600, 1000, 2500]",728.6,1066.704338918084,107.11754226216952,"[np.float64(102.47), np.float64(116.66), np.float64(102.97)]","[35, 35, 35]",72.36666666666666,72.66470349030081,67.28382150364929
Metal Pot,"[np.float64(1081.711), np.float64(1085.46), np.float64(1075.73)]","[500, 400, 1500]",563.8136666666667,573.9477711490829,52.12213034428202,"[np.float64(105.97), np.float64(108.8), np.float64(107.34)]","[75, 80, 20]",49.03666666666667,56.02635243050065,45.68781919447699
Mug #1,"[np.float64(3257.9), np.float64(3079.76), np.float64(3253.95)]","[4000, 1500, 3000]",858.6033333333334,1018.3065468544661,27.29258129443474,"[np.float64(114.86), np.float64(100.12), np.float64(105.23)]","[15, 75, 25]",68.40333333333334,75.36552461172151,62.757677296562086
Mug #2,"[np.float64(3641.04), np.float64(3185.78), np.float64(2997.29)]","[1000, 1000, 4000]",1943.1766666666665,2062.211905867096,58.19990640788353,"[np.float64(108.26), np.float64(110.57), np.float64(99.18)]","[15, 30, 20]",84.33666666666666,84.57427682221115,79.61565920506759
Glass Bottle,"[np.float64(192.38), np.float64(232.12), np.float64(424.13)]","[1500, 500, 2000]",1050.4566666666667,1192.336084569559,388.88872930672534,"[np.float64(102.8), np.float64(95.7), np.float64(98.51)]","[15, 25, 80]",59.00333333333333,65.95440369426947,59.35840962909248
Wine Glass,"[np.float64(7167.43), np.float64(6454.33), np.float64(1234.51)]","[3000.0, 3616.6666666666665, 3933.3333333333335]",3234.638888888889,3301.6891324890503,106.90806725700277,"[np.float64(107.81), np.float64(101.97), np.float64(99.46)]","[60.0, 70.0, 46.666666666666664]",44.191111111111105,45.07406144130807,42.92628641792695
Ceramic Plate,"[np.float64(3216.115), np.float64(4408.8), np.float64(6010.41)]","[3500.0, 2100.0, 3000.0]",1867.6983333333335,2196.4908757170683,37.09384843320428,"[np.float64(107.112), np.float64(99.26), np.float64(103.03)]","[44.0, 38.333333333333336, 55.0]",57.35622222222222,57.74098531404739,55.63995933161143
