,object_name,material,predicted_dB,predicted_Hz
0,1_Soup_Spoon_frame.jpg,ceramic,-50,3200
1,2_Bowl_frame.jpg,ceramic,-40,600
2,3_Salad_Plate_frame.jpg,ceramic,-45,3500
3,4_Dinner_Plate_frame.jpg,ceramic,800,-50
4,5_Hair_Comb_frame.jpg,wood,-55,1200
5,6_Blue_Bowl_frame.jpg,glass,-45,500
6,7_Decorative_Plate_frame.jpg,glass,-45,3000
7,8_Mixing_Bowl_frame.jpg,ceramic,-45,800
8,9_Serving_Bowl_frame.jpg,ceramic,-50,1500
9,10_Soup_Bowl_frame.jpg,ceramic,-50,1200
10,11_Strainer_Spoon_frame.jpg,wood,-60,1200
11,12_Soup_Ladle_frame.jpg,wood,-55,1000
12,13_Serving_Spoon_frame.jpg,wood,-60,800
13,14_Salad_Fork_frame.jpg,wood,-55,600
14,15_Mixing_Spoon_frame.jpg,wood,-60,1200
15,16_Frying_Spatula_frame.jpg,wood,-55,800
16,17_8Inch_Skillet_frame.jpg,iron,-45,800
17,18_10_dot_25Inch_Skillet_frame.jpg,iron,-35,800
18,19_10_dot_5Inch_Griddle_frame.jpg,iron,-40,600
19,20_Dutch_Oven_frame.jpg,iron,-40,600
20,21_Dutch_Oven_Lid_frame.jpg,iron,-55,800
21,22_Rinsing_Cup_frame.jpg,glass,-45,2500
22,23_Hand_Scoop_frame.jpg,plastic,-50,800
23,24_Shovel_Toy_Red_Large_frame.jpg,plastic,-60,500
24,25_Shovel_Toy_Green_Small_frame.jpg,plastic,-65,800
25,26_Handle_Spoon_frame.jpg,polycarbonate,0,5000
26,27_Round_Plate_frame.jpg,wood,-50,1200
27,28_Square_Plate_frame.jpg,wood,-50,1200
28,29_Cutting_Board_Large_frame.jpg,wood,-50,1000
29,30_Cutting_Board_Middle_frame.jpg,wood,-50,1000
30,31_Cutting_Board_Small_frame.jpg,wood,-50,1000
31,32_Wine_Glass_frame.jpg,wood,-55,800
32,33_Drinking_Cup_frame.jpg,wood,-50,800
33,34_Beer_Mug_frame.jpg,wood,-45,700
34,35_Portion_Cup_Brown_frame.jpg,polycarbonate,-60,800
35,36_Portion_Cup_White_frame.jpg,polycarbonate,-55,600
36,37_Cake_Pan_frame.jpg,steel,-50,800
37,38_Loaf_Pan_frame.jpg,steel,-50,1800
38,39_Wrench_Small_frame.jpg,steel,-45,2000
39,40_Wrench_Middle_frame.jpg,steel,-40,2500
40,41_Wrench_Large_frame.jpg,steel,-50,2000
41,42_Pestle_frame.jpg,iron,-55,3000
42,43_Mortar_frame.jpg,iron,-50,1600
43,44_Sculpture_frame.jpg,iron,-40,500
44,45_Ladle_frame.jpg,iron,-55,1200
45,46_Spatula_frame.jpg,iron,-50,1200
46,47_Decorative_Cast_frame.jpg,iron,-45,600
47,48_Mixing_Bowl_Large_frame.jpg,plastic,-55,800
48,49_Mixing_Bowl_Middle_frame.jpg,plastic,-45,1200
49,50_Mixing_Bowl_Small_frame.jpg,plastic,-55,800
50,51_Fruit_Bowl_frame.jpg,glass,-50,800
51,52_Fork_Small_frame.jpg,steel,-55,2500
52,53_Fork_Large_frame.jpg,steel,-50,5000
53,54_Spoon_Small_frame.jpg,steel,54,6000
54,55_Spoon_Large_frame.jpg,steel,-50,4200
55,56_Knife_Large_frame.jpg,plastic,-60,800
56,57_Knife_Middle_frame.jpg,plastic,-65,800
57,58_Knife_Small_frame.jpg,plastic,400,-65
58,59_Soap_Dish_frame.jpg,glass,-45,6000
59,60_Beer_Glass_frame.jpg,glass,-35,3000
60,61_Container_Large_frame.jpg,ceramic,-45,1200
61,62_Container_Middle_frame.jpg,ceramic,-50,2000
62,63_Container_Small_frame.jpg,ceramic,-40,600
63,64_Mug_frame.jpg,ceramic,-50,800
64,65_Vase_frame.jpg,ceramic,-50,1500
65,66_Plate_Handle_frame.jpg,iron,-45,3000
66,67_Plate_frame.jpg,iron,-45,1200
67,68_Plate_Base_frame.jpg,wood,-50,1200
68,69_Display_Stand_frame.jpg,iron,-45,1200
69,70_Drop_Funnel_frame.jpg,polycarbonate,-55,800
70,71_Container_Lid_frame.jpg,polycarbonate,-50,2500
71,72_Food_Pan_frame.jpg,polycarbonate,-50,800
72,73_Flowerpot_Large_frame.jpg,ceramic,4000,-40
73,74_Flowerpot_Small_frame.jpg,ceramic,-45,800
74,75_Vase_Green_frame.jpg,ceramic,-45,850
75,76_Vase_Blue_frame.jpg,ceramic,4200,-45
76,77_Vase_Orange_frame.jpg,ceramic,-50,1200
77,78_Swan_Large_frame.jpg,ceramic,-45,2000
78,79_Swan_Small_frame.jpg,ceramic,-50,600
79,80_Spoon_Holder_frame.jpg,wood,-50,1200
80,81_Utensil_Container_frame.jpg,wood,-50,1200
81,82_Can_frame.jpg,glass,-40,800
82,83_Potato_Masher_frame.jpg,steel,-50,1200
83,84_Skimmer_frame.jpg,steel,-50,1500
84,85_Pasta_Server_frame.jpg,steel,-55,1200
85,86_Slotted_Spoon_frame.jpg,steel,-55,5500
86,87_Solid_Turner_frame.jpg,steel,-45,3000
87,88_Ladle_Steel_frame.jpg,steel,400,-40
88,89_Solid_Spoon_frame.jpg,steel,-55,2500
89,90_Slotted_Turner_frame.jpg,steel,-55,2500
90,91_Glass_Green_frame.jpg,glass,-50,1200
91,92_Glass_Red_frame.jpg,glass,-45,1200
92,93_Vase_Glass_frame.jpg,glass,4000,-45
93,94_Salad_Bowl_frame.jpg,glass,-50,1200
94,95_Scoop_frame.jpg,polycarbonate,-50,600
95,96_Box_Lid_frame.jpg,polycarbonate,3500,-50
96,97_Stanford_Frisbee_frame.jpg,plastic,-50,600
97,98_Kettlebell_frame.jpg,iron,-40,900
98,99_Trim_Removal_Tool_frame.jpg,plastic,-60,1000
99,100_Trim_Removal_Tool_2_frame.jpg,plastic,-55,500
