epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.38241,0.89006,1.46408,1.31456,0.02637,0.21667,0.08889,0.04567,2.1143,4.98907,2.04458,0,0,0
2,4.72988,0.91283,1.66884,1.31627,0.06053,0.31667,0.11234,0.0524,2.03373,4.71094,1.99427,1.17822e-06,1.17822e-06,1.17822e-06
3,7.14765,0.85824,1.78607,1.40517,0.07345,0.56667,0.13528,0.06629,1.97047,4.40635,1.93853,2.33288e-06,2.33288e-06,2.33288e-06
4,9.63044,1.17999,1.49318,1.88456,0.06516,0.56667,0.13771,0.07686,1.91581,4.20573,1.89282,3.46397e-06,3.46397e-06,3.46397e-06
5,12.2049,1.07718,1.99356,1.58167,0.11018,0.36667,0.2516,0.14708,1.87318,4.01618,1.82865,4.5715e-06,4.5715e-06,4.5715e-06
6,14.4639,0.93207,1.74,1.26565,0.13785,0.36667,0.26284,0.20243,1.85622,3.72543,1.79883,5.65548e-06,5.65548e-06,5.65548e-06
7,16.6946,0.98403,1.43913,1.32713,0.60276,0.26469,0.27507,0.20061,1.84177,3.4618,1.757,6.71588e-06,6.71588e-06,6.71588e-06
8,19.0422,0.64227,1.19871,1.08646,0.71992,0.25,0.28172,0.20576,1.84566,3.29615,1.76632,7.75273e-06,7.75273e-06,7.75273e-06
9,21.4408,0.93657,2.37269,1.30843,0.59389,0.34561,0.34215,0.21521,1.84934,3.11764,1.76278,8.76602e-06,8.76602e-06,8.76602e-06
10,23.7545,0.94302,1.26035,1.19985,0.77712,0.25,0.34167,0.22123,1.74172,2.9255,1.62793,9.75574e-06,9.75574e-06,9.75574e-06
11,26.0331,0.95509,1.83088,1.20842,0.78247,0.25,0.36556,0.22984,1.6317,2.7838,1.55215,1.07219e-05,1.07219e-05,1.07219e-05
12,28.6369,0.76733,1.2221,1.22379,0.63751,0.36157,0.40611,0.26644,1.55481,2.67908,1.5133,1.16645e-05,1.16645e-05,1.16645e-05
13,31.0294,0.74014,0.86436,1.17176,0.70749,0.36543,0.44223,0.29757,1.57969,2.56485,1.49461,1.25835e-05,1.25835e-05,1.25835e-05
14,33.4981,0.91376,1.11208,1.29832,0.78221,0.34863,0.50449,0.32839,1.60391,2.46359,1.49706,1.3479e-05,1.3479e-05,1.3479e-05
15,35.765,0.97465,1.03281,1.41438,0.76393,0.3549,0.52427,0.35003,1.63821,2.37447,1.49872,1.43509e-05,1.43509e-05,1.43509e-05
16,38.0996,0.91217,0.91307,1.48426,0.76249,0.35712,0.52983,0.3674,1.66535,2.29509,1.50546,1.51993e-05,1.51993e-05,1.51993e-05
17,40.3415,0.94165,1.13252,1.42928,0.74788,0.37066,0.55635,0.38235,1.67865,2.17877,1.51155,1.60241e-05,1.60241e-05,1.60241e-05
18,42.5943,0.88827,1.12346,1.20606,0.74788,0.37066,0.55635,0.38235,1.67865,2.17877,1.51155,1.68253e-05,1.68253e-05,1.68253e-05
19,45.0592,0.84839,0.8857,1.15758,0.7689,0.37037,0.6041,0.44187,1.61225,2.04668,1.4947,1.7603e-05,1.7603e-05,1.7603e-05
20,47.2699,0.89491,0.8422,1.19761,0.7689,0.37037,0.6041,0.44187,1.61225,2.04668,1.4947,1.83571e-05,1.83571e-05,1.83571e-05
21,49.5573,1.04296,1.77233,1.42,0.7683,0.38321,0.69536,0.48612,1.65518,1.87828,1.50139,1.90876e-05,1.90876e-05,1.90876e-05
22,51.8075,0.7075,0.86267,1.26445,0.7683,0.38321,0.69536,0.48612,1.65518,1.87828,1.50139,1.97946e-05,1.97946e-05,1.97946e-05
23,54.132,0.90648,1.15515,1.17383,0.78565,0.37874,0.69694,0.50517,1.6045,1.75779,1.47858,2.0478e-05,2.0478e-05,2.0478e-05
24,56.4984,0.80114,0.75465,1.17736,0.78565,0.37874,0.69694,0.50517,1.6045,1.75779,1.47858,2.11379e-05,2.11379e-05,2.11379e-05
25,58.6702,0.76541,0.839,1.22481,0.93286,0.38903,0.70019,0.48954,1.61921,1.66599,1.47047,2.17741e-05,2.17741e-05,2.17741e-05
26,60.9771,0.79552,0.89398,1.29747,0.93286,0.38903,0.70019,0.48954,1.61921,1.66599,1.47047,2.23869e-05,2.23869e-05,2.23869e-05
